index,time_s,q0,q1,q2,q3,q4,q5,force_N,target_contact_count,force_error_N,scheduled_xy_error_m,reference_xy_error_m,scheduled_orientation_error_rad,force_normal_orientation_error_rad
567,1.1340000000000001,-8.866240998237459e-10,-0.10062277294827007,0.14716550396657185,-0.046653646037182375,2.8518265367645104e-11,0.0078317030599026,5.000502300461809,1,0.0005023004618092131,2.866908059510142e-10,0.00022737304931049788,3.210395484480078e-09,0.16681213719309793
568,1.1360000000000001,-8.881880887980573e-10,-0.10062345024199436,0.14715997611753556,-0.04664778061221375,2.8567101287826314e-11,0.007845659693433597,5.00049452167563,1,0.0004945216756295778,2.8289002506110574e-10,0.00022777405567306604,3.2104439997513503e-09,0.16679852027735836
569,1.1380000000000001,-8.897520777723688e-10,-0.10062412753571864,0.1471544482684993,-0.04664191518724513,2.8615937208007526e-11,0.007859616326964592,5.000485541349762,1,0.00048554134976175334,2.7849462127445133e-10,0.00022817506144100916,3.210492506936375e-09,0.1667849033616192
570,1.1400000000000001,-8.913160667466801e-10,-0.10062480482944293,0.14714892041946304,-0.046636049762276505,2.866477312818874e-11,0.007873572960495588,5.000475359491691,1,0.0004753594916913073,2.735043057991766e-10,0.00022857606661404187,3.2105409748106123e-09,0.16677128644587985
571,1.1420000000000001,-8.928800557209917e-10,-0.10062548212316721,0.14714339257042675,-0.04663018433730789,2.8713609048369954e-11,0.007887529594026584,5.000463976071418,1,0.00046397607141823727,2.679186588806728e-10,0.00022897707119174176,3.21058955341928e-09,0.16675766953014187
572,1.1440000000000001,-8.94444044695303e-10,-0.10062615941689149,0.14713786472139048,-0.046624318912339265,2.8762444968551164e-11,0.00790148622755758,5.000451391059204,1,0.0004513910592036652,2.617375270549783e-10,0.0002293780751739562,3.2106380094524263e-09,0.1667440526144027
573,1.1460000000000001,-8.960080336696146e-10,-0.10062683671061579,0.14713233687235422,-0.04661845348737065,2.8811280888732376e-11,0.007915442861088574,5.00043760445227,1,0.00043760445227025713,2.549604810505897e-10,0.00022977907856025495,3.210686508567005e-09,0.16673043569866317
574,1.1480000000000001,-8.97572022643926e-10,-0.10062751400434006,0.14712680902331793,-0.04661258806240202,2.886011680891359e-11,0.00792939949461957,5.000422616242625,1,0.0004226162426252955,2.475872486051162e-10,0.00023018008135036828,3.2107349987228187e-09,0.16671681878292474
575,1.1500000000000001,-8.991360116182375e-10,-0.10062819129806436,0.14712128117428164,-0.046606722637433394,2.8908952729094805e-11,0.007943356128150565,5.000406426408193,1,0.0004064264081931057,2.396174776802739e-10,0.00023058108354394056,3.2107835284886854e-09,0.1667032018671856
576,1.1520000000000001,-9.007000005925489e-10,-0.10062886859178863,0.14711575332524537,-0.04660085721246478,2.895778864927601e-11,0.007957312761681561,5.000389034936569,1,0.0003890349365693879,2.31050923818151e-10,0.00023098208514072893,3.210832008529726e-09,0.16668958495144587
